Symbol,ISIN,Company
CHALET,INE427F01016,Chalet Hotels Limited
XELPMOC,INE01P501012,Xelpmoc Design And Tech Limited
CESCVENT,INE425Y01011,CESC Ventures Limited
SAGARDEEP,INE976T01013,Sagardeep Alloys Limited
SPENCERS,INE020801028,Spencer's Retail Limited
DALBHARAT,INE00R701025,Odisha Cement Limited
TREJHARA,INE00CA01015,TREJHARA SOLUTIONS LIMITED
NILASPACES,INE00S901012,Nila Spaces Limited
TECHNOE,INE285K01026,Techno Electric & Engineering Company Limited
ADANIGAS,INE399L01023,Adani Gas Limited
GRSE,INE382Z01011,Garden Reach Shipbuilders & Engineers Limited
AAVAS,INE216P01012,Aavas Financiers Limited
IRCON,INE962Y01013,Ircon International Limited
AIONJSW,INE743C01021,Monnet Ispat & Energy Limited
SIGIND,INE529F01035,Signet Industries Limited
CREDITACC,INE741K01010,CREDITACCESS GRAMEEN LIMITED
HDFCAMC,INE127D01025,HDFC Asset Management Company Limited
TCNSBRANDS,INE778U01029,TCNS Clothing Co. Limited
HBSL,INE550B01022,HB Stockholdings Limited
VARROC,INE665L01035,Varroc Engineering Limited
FINEORG,INE686Y01026,Fine Organic Industries Limited
RITES,INE320J01015,RITES Limited
TALWGYM,INE627Z01019,Talwalkars Healthclubs Limited
GAYAHWS,INE287Z01012,Gayatri Highways Limited
SOLARA,INE624Z01016,Solara Active Pharma Sciences Limited
ADANIGREEN,INE364U01010,Adani Green Energy Limited
BOROSIL,INE666D01022,Borosil Glass Works Limited
INDOSTAR,INE896L01010,IndoStar Capital Finance Limited
ORIENTELEC,INE142Z01019,Orient Electric Limited
HITECH,INE106T01017,Hi-Tech Pipes Limited
CHEMFAB,INE783X01023,Chemfab Alkalis Limited
LEMONTREE,INE970X01018,Lemon Tree Hotels Limited
MIDHANI,INE099Z01011,Mishra Dhatu Nigam Limited
CENTRUM,INE660C01027,Centrum Capital Limited
ISEC,INE763G01038,ICICI Securities Limited
SANDHAR,INE278H01035,Sandhar Technologies Limited
KARDA,INE278R01018,Karda Constructions Limited
HAL,INE066F01012,Hindustan Aeronautics Limited
BANDHANBNK,INE545U01014,Bandhan Bank Limited
SUNDARMHLD,INE202Z01029,Sundaram Finance Holdings Limited
BDL,INE171Z01018,Bharat Dynamics Limited
HGINFRA,INE926X01010,H.G. Infra Engineering Limited
GMMPFAUDLR,INE541A01023,GMM Pfaudler Limited
ASTERDM,INE914M01019,Aster DM Healthcare Limited
SHIVAMILLS,INE644Y01017,Shiva Mills Limited
GALAXYSURF,INE600K01018,Galaxy Surfactants Limited
PRAXIS,INE546Y01022,Praxis Home Retail Limited
AMBER,INE371P01015,Amber Enterprises India Limited
NEWGEN,INE619B01017,Newgen Software Technologies Limited
APOLLO,INE713T01010,Apollo Micro Systems Limited
ASTRON,INE646X01014,Astron Paper & Board Mill Limited
SHIVATEX,INE705C01020,Shiva Texyarn Limited
FSC,INE935Q01015,Future Supply Chain Solutions Limited
SHALBY,INE597J01018,Shalby Limited
DNAMEDIA,INE016M01021,Diligent Media Corporation Limited
HDFCLIFE,INE795G01014,HDFC Life Insurance Company Limited
5PAISA,INE618L01018,5Paisa Capital Limited
KHADIM,INE834I01025,Khadim India Limited
IFGLEXPOR,INE133Y01011,IFGL Refractories Limited
NIACL,INE470Y01017,The New India Assurance Company Limited
MAHLOG,INE766P01016,Mahindra Logistics Limited
RNAM,INE298J01013,Reliance Nippon Life Asset Management Limited
TIINDIA,INE974X01010,Tube Investments of India Limited
GICRE,INE481Y01014,General Insurance Corporation of India
IEX,INE022Q01020,Indian Energy Exchange Limited
MASFIN,INE348L01012,MAS Financial Services Limited
TCPLPACK,INE822C01015,TCPL Packaging Limited
GODREJAGRO,INE850D01014,Godrej Agrovet Limited
SCAPDVR,INE224E01036,Stampede Capital Limited
DIAMONDYD,INE393P01035,Prataap Snacks Limited
SBILIFE,INE123W01016,SBI Life Insurance Company Limited
ICICIGI,INE765G01017,ICICI Lombard General Insurance Company Limited
CAPACITE,INE264T01014,Capacit'e Infraprojects Limited
TIFIN,INE149A01033,TI Financial Holdings Limited
RHFL,INE217K01011,Reliance Home Finance Limited
LASA,INE670X01014,Lasa Supergenerics Limited
DCAL,INE385W01011,Dishman Carbogen Amcis Limited
MATRIMONY,INE866R01028,Matrimony.Com Limited
DIXON,INE935N01012,Dixon Technologies (India) Limited
BRNL,INE727S01012,Bharat Road Network Limited
APEX,INE346W01013,Apex Frozen Foods Limited
ABCAPITAL,INE674K01013,Aditya Birla Capital Limited
SMSLIFE,INE320X01016,SMS Lifesciences India Limited
COCHINSHIP,INE704P01017,Cochin Shipyard Limited
SIS,INE285J01010,Security and Intelligence Services (India) Limited
OPTIEMUS,INE350C01017,Optiemus Infracom Limited
SPTL,INE501W01021,Sintex Plastics Technology Limited
THEINVEST,INE924D01017,The Investment Trust Of India Limited
GANGESSECU,INE335W01016,Ganges Securities Limited
AVADHSUGAR,INE349W01017,Avadh Sugar & Energy Limited
MAGADSUGAR,INE347W01011,Magadh Sugar & Energy Limited
PALASHSECU,INE471W01019,Palash Securities Limited
SALASAR,INE170V01019,Salasar Techno Engineering Limited
AGLSL,INE517U01013,Artemis Global Life Sciences Limited
BHAGYAPROP,INE363W01018,Bhagyanagar Properties Limited
STEELXIND,INE503B01013,STEEL EXCHANGE INDIA LIMITED
DYNPRO,INE256H01015,Dynemic Products Limited
AUBANK,INE949L01017,AU Small Finance Bank Limited
GTPL,INE869I01013,GTPL Hathway Limited
CDSL,INE736A01011,Central Depository Services (India) Limited
ERIS,INE406M01024,Eris Lifesciences Limited
TEJASNET,INE010J01012,Tejas Networks Limited
STARCEMENT,INE460H01021,Star Cement Limited
PSPPROJECT,INE488V01015,PSP Projects Limited
HUDCO,INE031A01017,Housing & Urban Development Corporation Limited
BHAGYANGR,INE458B01036,Bhagyanagar India Limited
SCHAND,INE807K01035,S Chand And Company Limited
DOLLAR,INE325C01035,Dollar Industries Limited
WIPL,INE215F01023,The Western India Plywoods Limited
PODDARHOUS,INE888B01018,Poddar Housing and Development Limited
APCL,INE071F01012,Anjani Portland Cement Limited
NACLIND,INE295D01020,NACL Industries Limited
NRAIL,INE740D01017,N R Agarwal Industries Limited
SHANKARA,INE274V01019,Shankara Building Products Limited
CLEDUCATE,INE201M01011,CL Educate Limited
AKSHARCHEM,INE542B01011,AksharChem India Limited
ARIHANTSUP,INE643K01018,Arihant Superstructures Limited
URJA,INE550C01020,Urja Global Limited
INTENTECH,INE781A01025,Intense Technologies Limited
TASTYBITE,INE488B01017,Tasty Bite Eatables Limited
DMART,INE192R01011,Avenue Supermarts Limited
RADIOCITY,INE919I01016,Music Broadcast Limited
JITFINFRA,INE863T01013,JITF Infralogistics Limited
KALYANI,INE610E01010,Kalyani Commercials Limited
PRICOLLTD,INE726V01018,Pricol Limited
BSE,INE118H01025,BSE Limited
BHANDARI,INE474E01029,Bhandari Hosiery Exports Limited
CAPTRUST,INE707C01018,Capital Trust Limited
SPCENET,INE970N01027,Spacenet Enterprises India Limited
HISARMETAL,INE598C01011,Hisar Metal Industries Limited
ITDC,INE353K01014,India Tourism Development Corporation Limited
TERASOFT,INE482B01010,Tera Software Limited
DFMFOODS,INE456C01020,DFM Foods Limited
LAURUSLABS,INE947Q01010,Laurus Labs Limited
TCIEXP,INE586V01016,TCI Express Limited
TMRVL,INE759V01019,The Mandhana Retail Ventures Limited
SFL,INE916U01025,Sheela Foam Limited
CMICABLES,INE981B01011,CMI Limited
KIOCL,INE880L01014,KIOCL Limited
HIGHGROUND,INE361M01021,High Ground Enterprise Limited
NBIFIN,INE365I01020,N. B. I. Industrial Finance Company Limited
PODDARMENT,INE371C01013,Poddar Pigments Limited
SANCO,INE782L01012,Sanco Industries Limited
ROLLT,INE927A01040,Rollatainers Limited
KINGFA,INE473D01015,Kingfa Science & Technology (India) Limited
VBL,INE200M01013,Varun Beverages Limited
PNBHOUSING,INE572E01012,PNB Housing Finance Limited
MAZDA,INE885E01034,Mazda Limited
NIRAJISPAT,INE326T01011,Niraj Ispat Industries Limited
ENDURANCE,INE913H01037,Endurance Technologies Limited
MASKINVEST,INE885F01015,Mask Investments Limited
HPL,INE495S01016,HPL Electric & Power Limited
ICICIPRULI,INE726G01019,ICICI Prudential Life Insurance Company Limited
MARATHON,INE182D01020,Marathon Nextgen Realty Limited
GNA,INE934S01014,GNA Axles Limited
LTTS,INE010V01017,L&T Technology Services Limited
CUPID,INE509F01011,Cupid Limited
SABEVENTS,INE860T01019,Sab Events & Governance Now Media Limited
TVVISION,INE871L01013,TV Vision Limited
BIGBLOC,INE412U01017,Bigbloc Construction Limited
RBLBANK,INE976G01028,RBL Bank Limited
FRETAIL,INE752P01024,Future Retail Limited
NDGL,INE756C01015,Naga Dhunseri Group Limited
SPAL,INE212I01016,S. P. Apparels Limited
DBL,INE917M01012,Dilip Buildcon Limited
MINDTECK,INE110B01017,Mindteck (India) Limited
ADVENZYMES,INE837H01020,Advanced Enzyme Technologies Limited
STAMPEDE,INE224E01028,Stampede Capital Limited
LTI,INE214T01019,Larsen & Toubro Infotech Limited
SOMICONVEY,INE323J01019,Somi Conveyor Beltings Limited
LSIL,INE093R01011,Lloyds Steels Industries Limited
MAXINDIA,INE153U01017,Max India Limited
GROBTEA,INE646C01018,The Grob Tea Company Limited
DIGJAMLTD,INE731U01010,Digjam Limited
QUESS,INE615P01015,Quess Corp Limited
VIJIFIN,INE159N01027,Viji Finance Limited
GPTINFRA,INE390G01014,GPT Infraprojects Limited
POKARNA,INE637C01025,Pokarna Limited
COMPINFO,INE070C01037,Compuage Infocom Limited
MOLDTECH,INE835B01035,Mold-Tek Technologies Limited
DAMODARIND,INE497D01022,Damodar Industries Limited
SETCO,INE878E01021,Setco Automotive Limited
ADHUNIKIND,INE452L01012,Adhunik Industries Limited
MAHASTEEL,INE451L01014,Mahamaya Steel Industries Limited
MGL,INE002S01010,Mahanagar Gas Limited
CONTROLPR,INE663B01015,Control Print Limited
UVSL,INE292A01023,Uttam Value Steels Limited
MAXVIL,INE154U01015,Max Ventures and Industries Limited
PREMEXPLN,INE863B01011,Premier Explosives Limited
SALONA,INE498E01010,Salona Cotspin Limited
NAGAFERT,INE454M01024,Nagarjuna Fertilizers and Chemicals Limited
BLS,INE153T01027,BLS International Services Limited
ARMANFIN,INE109C01017,Arman Financial Services Limited
ALBERTDAVD,INE155C01010,Albert David Limited
ABMINTLTD,INE251C01017,ABM International Limited
ASPINWALL,INE991I01015,Aspinwall and Company Limited
SHRIPISTON,INE526E01018,Shriram Pistons & Rings Limited
PARAGMILK,INE883N01014,Parag Milk Foods Limited
CROMPTON,INE299U01018,Crompton Greaves Consumer Electricals Limited
UJJIVAN,INE334L01012,Ujjivan Financial Services Limited
PALREDTEC,INE218G01033,Palred Technologies Limited
THYROCARE,INE594H01019,Thyrocare Technologies Limited
EQUITAS,INE988K01017,Equitas Holdings Limited
INFIBEAM,INE483S01020,Infibeam Avenues Limited
BHARATWIRE,INE316L01019,Bharat Wire Ropes Limited
PDMJEPAPER,INE865T01018,Pudumjee Paper Products Limited
HCG,INE075I01017,Healthcare Global Enterprises Limited
KDDL,INE291D01011,KDDL Limited
SIMBHALS,INE748T01016,Simbhaoli Sugars Limited
GOKULAGRO,INE314T01025,Gokul Agro Resources Limited
SEQUENT,INE807F01027,Sequent Scientific Limited
BHAGERIA,INE354C01027,Bhageria Industries Limited
VIDHIING,INE632C01026,Vidhi Specialty Food Ingredients Limited
NECCLTD,INE553C01016,North Eastern Carrying Corporation Limited
KELLTONTEC,INE164B01022,Kellton Tech Solutions Limited
QUICKHEAL,INE306L01010,Quick Heal Technologies Limited
TEAMLEASE,INE985S01024,Teamlease Services Limited
PRECAM,INE484I01029,Precision Camshafts Limited
JSLHISAR,INE455T01018,Jindal Stainless (Hisar) Limited
OCCL,INE321D01016,Oriental Carbon & Chemicals Limited
NH,INE410P01011,Narayana Hrudayalaya Ltd.
LALPATHLAB,INE600L01024,Dr. Lal Path Labs Ltd.
ALKEM,INE540L01014,Alkem Laboratories Limited
LINCOLN,INE405C01035,Lincoln Pharmaceuticals Limited
KRIDHANINF,INE524L01026,Kridhan Infra Limited
PILANIINVS,INE417C01014,Pilani Investment and Industries Corporation Limited
SALZERELEC,INE457F01013,Salzer Electronics Limited
AIFL,INE428O01016,Ashapura Intimates Fashion Limited
TTKHLTCARE,INE910C01018,TTK Healthcare Limited
UMANGDAIRY,INE864B01027,Umang Dairies Limited
LUXIND,INE150G01020,Lux Industries Limited
SHK,INE500L01026,S H Kelkar and Company Limited
INDIGO,INE646L01027,InterGlobe Aviation Limited
IDFCFIRSTB,INE092T01019,IDFC First Bank Limited
COFFEEDAY,INE335K01011,Coffee Day Enterprises Limited
PRABHAT,INE302M01033,Prabhat Dairy Limited
SADBHIN,INE764L01010,Sadbhav Infrastructure Project Limited
GUJGASLTD,INE844O01030,Gujarat Gas Limited
SHREEPUSHK,INE712K01011,Shree Pushkar Chemicals & Fertilisers Limited
PENPEBS,INE455O01019,Pennar Engineered Building Systems Limited
NAVKARCORP,INE278M01019,Navkar Corporation Limited
SHARDAMOTR,INE597I01010,Sharda Motor Industries Limited
ARVSMART,INE034S01021,Arvind SmartSpaces Limited
SATIN,INE836B01017,Satin Creditcare Network Limited
POWERMECH,INE211R01019,Power Mech Projects Limited
MUTHOOTCAP,INE296G01013,Muthoot Capital Services Limited
ORTINLABSS,INE749B01012,Ortin Laboratories Limited
MAJESCO,INE898S01029,Majesco Limited
PKTEA,INE431F01018,The Peria Karamalai Tea & Produce Company Limited
RAMASTEEL,INE230R01027,Rama Steel Tubes Limited
AYMSYNTEX,INE193B01039,AYM Syntex Limited
KAYA,INE587G01015,Kaya Limited
SYNGENE,INE398R01022,Syngene International Limited
ADANITRANS,INE931S01010,Adani Transmission Limited
SHYAMCENT,INE979R01011,Shyam Century Ferrous Limited
BALKRISHNA,INE875R01011,Balkrishna Paper Mills Limited
ORICONENT,INE730A01022,Oricon Enterprises Limited
MANPASAND,INE122R01018,Manpasand Beverages Limited
ALANKIT,INE914E01040,Alankit Limited
SKIPPER,INE439E01022,Skipper Limited
PNCINFRA,INE195J01029,PNC Infratech Limited
ARROWGREEN,INE570D01018,Arrow Greentech Limited
NILAINFRA,INE937C01029,Nila Infrastructures Limited
TPLPLASTEH,INE413G01014,TPL Plastech Limited
UFO,INE527H01019,UFO Moviez India Limited
FAIRCHEM,INE959A01019,Fairchem Speciality Limited
BCG,INE425B01027,Brightcom Group Limited
MEP,INE776I01010,MEP Infrastructure Developers Limited
VRLLOG,INE366I01010,VRL Logistics Limited
VETO,INE918N01018,Veto Switchgears And Cables Limited
VIPULLTD,INE946H01037,Vipul Limited
LFIC,INE850E01012,Lakshmi Finance & Industrial Corporation Limited
BYKE,INE319B01014,The Byke Hospitality Ltd
AVANTIFEED,INE871C01038,Avanti Feeds Limited
INOXWIND,INE066P01011,Inox Wind Limited
ADLABS,INE172N01012,Adlabs Entertainment Limited
MANAKCOAT,INE830Q01018,Manaksia Coated Metals & Industries Limited
ZENTEC,INE251B01027,Zen Technologies Limited
MANAKALUCO,INE859Q01017,Manaksia Aluminium Company Limited
BKMINDST,INE831Q01016,Bkm Industries Limited
MANAKSTEEL,INE824Q01011,Manaksia Steels Limited
ORTEL,INE849L01019,Ortel Communications Limited
JMA,INE412C01015,Jullundur Motor Agency (Delhi) Limited
HESTERBIO,INE782E01017,Hester Biosciences Limited
GANECOS,INE845D01014,Ganesha Ecosphere Limited
LINCPEN,INE802B01019,Linc Pen & Plastics Limited
MENONBE,INE071D01033,Menon Bearings Limited
VISHNU,INE270I01014,Vishnu Chemicals Limited
GREENLAM,INE544R01013,Greenlam Industries Limited
MOLDTKPAC,INE893J01029,Mold-Tek Packaging Limited
GENUSPAPER,INE949P01018,Genus Paper & Boards Limited
GRPLTD,INE137I01015,GRP Limited
LAMBODHARA,INE112F01022,Lambodhara Textiles Limited
CCHHL,INE652F01027,Country Club Hospitality & Holidays Limited
SHAKTIPUMP,INE908D01010,Shakti Pumps (India) Limited
UNITEDTEA,INE458F01011,The United Nilgiri Tea Estates Company Limited
APOLSINHOT,INE451F01024,Apollo Sindoori Hotels Limited
GULPOLY,INE255D01024,Gulshan Polyols Limited
DTIL,INE341R01014,Dhunseri Tea & Industries Limited
CAMLINFINE,INE052I01032,Camlin Fine Sciences Limited
FCL,INE045J01026,Fineotex Chemical Limited
BEARDSELL,INE520H01022,Beardsell Limited
GOODLUCK,INE127I01024,Goodluck India Limited
AMRUTANJAN,INE098F01031,Amrutanjan Health Care Limited
MONTECARLO,INE950M01013,Monte Carlo Fashions Limited
INTELLECT,INE306R01017,Intellect Design Arena Limited
MANAPPURAM,INE522D01027,Manappuram Finance Limited
PDSMFL,INE111Q01013,PDS Multinational Fashions Limited
MINDACORP,INE842C01021,Minda Corporation Limited
CIGNITITEC,INE675C01017,Cigniti Technologies Limited
SHEMAROO,INE363M01019,Shemaroo Entertainment Limited
SUPERHOUSE,INE712B01010,Superhouse Limited
SHARDACROP,INE221J01015,Sharda Cropchem Limited
SNOWMAN,INE734N01019,Snowman Logistics Limited
GULFOILLUB,INE635Q01029,Gulf Oil Lubricants India Limited
GOCLCORP,INE077F01035,GOCL Corporation Limited
CAPLIPOINT,INE475E01026,Caplin Point Laboratories Limited
HATSUN,INE473B01035,Hatsun Agro Product Limited
AGARIND,INE204E01012,Agarwal Industrial Corporation Limited
WONDERLA,INE066O01014,Wonderla Holidays Limited
BUTTERFLY,INE295F01017,Butterfly Gandhimathi Appliances Limited
ARCOTECH,INE574I01035,Arcotech Limited
SDBL,INE480C01012,Som Distilleries & Breweries Limited
CASTROLIND,INE172A01027,Castrol India Limited
